Trx Number/ Cross Ref,Transaction Source,Transaction Class,Transaction Type,Complete,Status,Bill-to Customer,__amount_target_col__,Currency,Transaction Date,Operating Company (OpCo),Accounting Date,Batch Name,Bill-to Customer Site,Due Date,Primary Salesperson,Po Number,Bill-to Customer Account Number,Document Number
244983-2,Conversion,Invoice,Invoice,Yes,Complete,MCKINSTRY COMPANY,2007.66,USD,2026-02-18 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,4222,2026-03-20 00:00:00,Dorse House Account,26035048,3442,1.510000014e+11
245116,Conversion,Invoice,Invoice,Yes,Complete,CAPITAL HEATING & COOLING,623.22,USD,2026-02-11 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3758,2026-03-13 00:00:00,Dorse House Account,12482,3785,1.510000012e+11
242872,Conversion,Invoice,Invoice,Yes,Complete,APOLLO MECHANICAL CONTRACTORS,5514.9,USD,2025-12-16 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,2169,2026-01-15 00:00:00,Dorse House Account,SeaTac Concourse C,3049,1.510000007e+11
245885,Conversion,Invoice,Invoice,Yes,Complete,HERMANSON COMPANY,573.5,USD,2026-02-27 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,2628,2026-03-29 00:00:00,Dorse House Account,PO039499,4269,1.510000011e+11
244178,Conversion,Invoice,Invoice,Yes,Complete,TRIMBLE MECHANICAL,216.88,USD,2026-01-19 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,2819,2026-02-18 00:00:00,Dorse House Account,3174,4006,1.510000006e+11
244736,Conversion,Invoice,Invoice,Yes,Complete,DELTA TECHNOLOGY CORPORATION,13875,USD,2026-02-12 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,4595,2026-03-14 00:00:00,Dorse House Account,3603-2524-630,3607,1.510000012e+11
222929,Conversion,Credit Memo,Credit Memo,No,Incomplete,HEAT MASTER INC,-885,USD,2024-09-16 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2019707,5106,NaT,Dorse House Account,,3640,
244983,Conversion,Invoice,Invoice,Yes,Complete,MCKINSTRY COMPANY,1693.33,USD,2026-02-11 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,4222,2026-03-13 00:00:00,Dorse House Account,26035048,3442,1.510000014e+11
245692,Conversion,Invoice,Invoice,Yes,Complete,JH KELLY LLC,652.14,USD,2026-02-25 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3951,2026-03-27 00:00:00,Dorse House Account,25683.0005,3686,1.510000005e+11
243192,Conversion,Invoice,Invoice,Yes,Complete,OCEAN PARK MECHANICAL INC,114.76,USD,2025-12-22 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,2522,2026-01-21 00:00:00,Dorse House Account,2509-0181,3557,1.510000011e+11
