Branch,Customer,Start Date,Finish Date,Project Name,Project Type,Project Unit,Quote Number,Contract Type,Project Number,Project Status,Distribution To,Project Manager,Cost Per Trip/Day,Product Estimated,Project Description,Project Ledger Currency,Operating Company (OpCo)
Richmond-C&J-Services,VIRGINIA VETERINARY CENTERS,2025-12-01,2027-02-01,VVC Short Pump Svc Agreement,CJBS_Billable Project Type,CJBS PU,0125-6955,Service Contract,0125-6955,Active,CONTRACTOR,"Halferty, April",87,Schneider,"4300 Greybull Drive  Richmond, VA 23233",USD,CJBS
Richmond-C&J-Services,SCRIPPS,2026-01-01,2027-03-01,WTKR Norfolk - 2026 - Ctrls SA,CJBS_Billable Project Type,CJBS PU,0126-7060,Service Contract,0126-7060,Active,CONTRACTOR,"Martinez, Joseph",130.5,Schneider Tridium,"720 Boush St. Norfolk, VA 23510",USD,CJBS
,JRC MECHANICAL,2024-07-01,2026-09-01,Western Branch VA CBOC,CJBS_Billable Project Type,CJBS PU,0124-5183,New Construction,0124-5183,Active,CONTRACTOR,"Flagg, Daniel",147.7831899,Schneider Electric,"Chesapeake Square Ring Rd Chesapeake, VA 23321",USD,CJBS
Richmond-C&J-Building Automation,PIEDMONT SERVICE GROUP,2026-04-01,2026-10-01,Westmark 2 - Chiller Replace,CJBS_Billable Project Type,CJBS PU,0126-7204,Renovation,0126-7204,Active,CONTRACTOR,"Seay, Kyle",62.3,TBD,"11013 West Broad Street  Glen Allen, Virginia 23060",USD,CJBS
Richmond-C&J-Services,PIEDMONT SERVICE GROUP,2026-05-01,2026-11-01,Westmark One Chiller Replace,CJBS_Billable Project Type,CJBS PU,0126-7334,Service Quoted,0126-7334,Active,CONTRACTOR,"Seay, Kyle",125,,"11011 West Broad Street  Glen Allen, Virginia 23060",USD,CJBS
Richmond-C&J-Building Automation,DAVKEN MECHANICAL INC,2024-11-01,2027-01-29,Williamsburg Landing Community Center,CJBS_Billable Project Type,CJBS PU,0124-5676,New Construction,0124-5676,Active,CONTRACTOR,"Suttles, Jonathan",80.13726133,Schneider ,"5700 Williamsburg Landing Drive Williamsburg, VA 23185",USD,CJBS
Richmond-C&J-Building Automation,BLAUCH BROTHERS,2025-10-01,2027-05-03,Winchester Equip - Harrisonburg Location,CJBS_Billable Project Type,CJBS PU,0125-6739,New Construction,0125-6739,Active,CONTRACTOR,"Desoto, Christopher",221,Wiring Only,"160 Carpenter Lane  Harrisonburg, VA 22801",USD,CJBS
Richmond-C&J-Building Automation,BLAUCH BROTHERS,2025-10-01,2027-05-03,Winchester Equip - Harrisonburg Location,CJBS_Billable Project Type,CJBS PU,0125-6739,New Construction,0125-6739,Active,CONTRACTOR,"Desoto, Christopher",221,Wiring Only,,USD,CJBS
Richmond-C&J-Building Automation,DAVKEN MECHANICAL INC,2024-11-01,2027-01-29,Williamsburg Landing Community Center,CJBS_Billable Project Type,CJBS PU,0124-5676,New Construction,0124-5676,Active,CONTRACTOR,"Suttles, Jonathan",80.13726133,Schneider ,"5700 Williamsburg Landing Drive Williamsburg, VA 23185",USD,CJBS
Richmond-C&J-Building Automation,DAVKEN MECHANICAL INC,2024-11-01,2027-01-29,Williamsburg Landing Community Center,CJBS_Billable Project Type,CJBS PU,0124-5676,New Construction,0124-5676,Active,CONTRACTOR,"Suttles, Jonathan",80.13726133,Schneider ,"5700 Williamsburg Landing Drive Williamsburg, VA 23185",USD,CJBS
Richmond-C&J-Building Automation,DAVKEN MECHANICAL INC,2024-11-01,2027-01-29,Williamsburg Landing Community Center,CJBS_Billable Project Type,CJBS PU,0124-5676,New Construction,0124-5676,Active,CONTRACTOR,"Suttles, Jonathan",80.13726133,Schneider ,"5700 Williamsburg Landing Drive Williamsburg, VA 23185",USD,CJBS
Richmond-C&J-Building Automation,DAVKEN MECHANICAL INC,2024-11-01,2027-01-29,,CJBS_Billable Project Type,CJBS PU,0124-5676,New Construction,0124-5676,Active,CONTRACTOR,"Suttles, Jonathan",80.13726133,Schneider ,"5700 Williamsburg Landing Drive Williamsburg, VA 23185",USD,CJBS
Richmond-C&J-Building Automation,HOWELL'S HEATING & AIR,2024-10-01,2027-01-01,Avon Operations Center,CJBS_Billable Project Type,CJBS PU,0124-5586,New Construction,0124-5586,Active,CONTRACTOR,"Tees, Jason",94.8295,Schneider,"1741 Avon Street Extended  Charlottesville, VA 22902",USD,CJBS
,,NaT,NaT,,,,,,,,,,,,,,
Richmond-C&J-Building Automation,GREEN AIR,2025-03-01,2027-05-01,Lynchburg CSO 52 Storage,CJBS_Billable Project Type,CJBS PU,0125-6423,New Construction,0125-6423,Active,CONTRACTOR,"Tees, Jason",267,JCI FX,"900 Church Street  Lynchburg, VA 24504",USD,CJBS
